Î» (nm)	photon flux (Î³/s/cm^2/nm)
490.50	485296064292182.38
491.50	489661330947350.25
492.50	493553566182283.50
493.50	496092885239109.62
494.50	497726934325327.88
495.50	498021984309897.94
496.50	497271287059395.69
497.50	496195941354648.69
498.50	494493487392359.56
499.50	492840511703207.75
500.50	491830848350614.44
501.50	491559064822443.88
502.50	492398385284162.06
503.50	494204152763271.94
504.50	496338338272755.81
505.50	498844258476708.06
506.50	500794046472958.81
507.50	501840491372371.50
508.50	502012122180081.19
509.50	501525889464193.12
510.50	500221018631022.19
511.50	496777892368021.25
512.50	491940233197930.94
513.50	487277614169120.81
514.50	483066719388268.38
515.50	479331612998381.00
516.50	476294357744124.31
517.50	474603892638537.75
518.50	476622093268940.50
519.50	479932961997043.62
520.50	483379120643992.94
521.50	486794194413925.06
522.50	490520247048663.69
523.50	494582324159515.88
524.50	498334466046030.25
525.50	500962874373522.12
526.50	502729902632621.56
527.50	504602350627892.75
528.50	507767990530698.75
529.50	510539628166430.56
530.50	512796529511840.50
531.50	514498140040611.44
532.50	515606181914222.19
533.50	516515213316266.94
534.50	516988315053918.56
535.50	516886363096136.44
536.50	516164156078179.88
537.50	515490571437977.50
538.50	514970796519352.06
539.50	514701221021222.25
540.50	514834369822584.56
541.50	515268175000597.25
542.50	515961725840124.75
543.50	516896988186868.56
544.50	518091749228391.75
545.50	519213036506846.75
546.50	520122834255508.00
547.50	521330384304045.00
548.50	522333405693697.12
549.50	523109775924518.81
550.50	523443697851723.19
551.50	523354493497066.94
552.50	523027653413714.88
553.50	522712388611345.62
554.50	522393040976128.88
555.50	522010744370661.00
556.50	521402851282825.12
557.50	520829258626629.06
558.50	520402761886984.31
559.50	520517183185854.69
560.50	520942448272122.38
561.50	521487430599383.56
562.50	521868593223860.38
563.50	522498437391163.00
564.50	523308610927934.31
565.50	524455075489146.31
566.50	525630655283622.50
567.50	526839124537845.50
568.50	527864894534787.19
569.50	528860734768022.44
570.50	529838344710546.88
571.50	530951878752054.31
572.50	532118813388973.38
573.50	533175541525699.38
574.50	534142632206459.44
575.50	534995004651099.06
576.50	535560255070993.31
577.50	536047296035758.31
578.50	536529045383425.75
579.50	536630118080409.50
580.50	536282501428355.81
581.50	535781406757692.62
582.50	535221787773841.44
583.50	534524605223441.94
584.50	533808243555922.44
585.50	533063031452845.06
586.50	532374042984459.62
587.50	531714472189314.38
588.50	531253627376999.75
589.50	530915825758719.12
590.50	531183839128913.62
591.50	531432975697846.38
592.50	531653694835985.62
593.50	531967902606739.19
594.50	532344103901115.44
595.50	532725095392668.88
596.50	533105895713854.56
597.50	533407814244761.81
598.50	533640730127692.12
599.50	533543670717463.56
600.50	533371308712987.88
601.50	533048974693209.31
602.50	532703342467931.38
603.50	532331851590154.50
604.50	531739510904817.25
605.50	530997594052443.38
606.50	530030721831180.75
607.50	528972228848594.38
608.50	527947877670281.06
609.50	526926814243587.62
610.50	526060240873970.38
611.50	525205879843851.62
612.50	524299909931350.44
613.50	523387475956124.31
614.50	522590090948185.00
615.50	521808185542923.06
616.50	521522224066807.62
617.50	521260525040245.50
618.50	521433680971425.69
619.50	521594855990353.12
620.50	521599873044880.81
621.50	521597410567764.00
622.50	521477285090530.12
623.50	521355156374616.94
624.50	521336952047735.12
625.50	521316011517819.75
626.50	521402894063205.94
627.50	521492007337755.56
628.50	521303288271374.06
629.50	521077223818883.94
630.50	520764545364162.19
631.50	520427401182759.88
632.50	520174560977623.88
633.50	519957908539259.31
634.50	519774551868030.56
635.50	519615666125280.06
636.50	519338464727430.06
637.50	518904826385395.44
638.50	518469373375988.06
639.50	518035708430370.31
640.50	517609805991548.56
641.50	517298106474494.50
642.50	516982915660529.25
643.50	515928784156886.44
644.50	514777836081773.19
645.50	513644357132077.19
646.50	512515980984002.50
647.50	511405358973069.00
648.50	510319076335647.38
649.50	509255203491296.88
650.50	508306019530539.75
651.50	507351506571666.12
652.50	506478924990476.81
653.50	505609925249260.69
654.50	505022226261228.06
655.50	504606131462264.75
656.50	504451376503970.44
657.50	504912995215017.69
658.50	505373680765977.19
659.50	506060729055288.12
660.50	506754573911453.12
661.50	507430235680296.88
662.50	508094120273373.50
663.50	508735146990786.06
664.50	509300199290988.88
665.50	509864644540904.50
666.50	510347957050404.19
667.50	510815059632352.56
668.50	511134682765690.50
669.50	511250243291455.00
670.50	511363864940893.62
671.50	511002932192039.56
672.50	510628993347272.75
673.50	510247118721580.69
674.50	509857467110868.38
675.50	509464427638074.31
676.50	509068437713077.69
677.50	508669047364220.62
678.50	508242435718997.00
679.50	507790332528423.44
680.50	507334693882684.44
681.50	506821221690593.94
682.50	506304054694574.44
683.50	505793243137222.69
684.50	505291576116254.75
685.50	504786281128111.00
686.50	504211854947874.31
687.50	503623807872251.62
688.50	503028361117319.50
689.50	502419438237370.19
690.50	501806629823603.31
691.50	501188328788564.81
692.50	500565270965389.00
693.50	499938824917201.00
694.50	499358501168928.25
695.50	498774430218150.94
696.50	498190973741870.00
697.50	497612261528595.81
698.50	497029838949749.69
699.50	496473142026138.12
700.50	495928691724315.38
701.50	495380660538510.06
702.50	494854966389868.69
703.50	494327421835238.75
704.50	493788581175495.50
705.50	493214996878068.12
706.50	492637799566525.56
707.50	492051093649680.44
708.50	491452931920687.44
709.50	490851118419481.19
710.50	490248304329280.94
711.50	489643275499161.94
712.50	489034606378162.19
713.50	488415306519416.31
714.50	487790912990013.69
715.50	487162855561531.00
716.50	486553322333542.44
717.50	485940411576174.12
718.50	485337108159948.81
719.50	484818759751961.12
720.50	484297092831148.88
721.50	483782994771531.00
722.50	483300132848044.38
723.50	482814078161028.81
724.50	482312075266267.06
725.50	481779701664849.56
726.50	481244025263289.75
727.50	480732883188459.88
728.50	480263995742717.56
729.50	479792006886790.69
730.50	479348948184258.56
731.50	478949033069954.19
732.50	478546230442152.06
733.50	478125714374239.25
734.50	477681768556406.06
735.50	477234838974699.44
736.50	476787790918042.75
737.50	476342070647342.19
738.50	475893386064831.50
739.50	475485546214645.56
740.50	475156330208736.00
741.50	474824488413524.50
742.50	474516096896858.75
743.50	474272292882079.12
744.50	474026113930021.38
745.50	473775323657216.56
746.50	473511218987742.25
747.50	473244704088711.19
748.50	472973908946957.44
749.50	472655758302630.31
750.50	472335072511367.00
751.50	472011851573167.75
752.50	471687762892831.25
753.50	471361349854804.00
754.50	471032406649212.25
755.50	470662003645916.06
756.50	470272261207697.25
757.50	469879841378201.50
758.50	469455774403863.56
759.50	468998761706409.19
760.50	468538915725928.19
761.50	468080828443413.00
762.50	467634480306936.56
763.50	467185349138921.69
764.50	466733434939368.69
765.50	466310090867168.56
766.50	465885016630994.56
767.50	465457243812254.88
768.50	465085493837711.25
769.50	464740158230264.88
770.50	464392352131132.56
771.50	464039416000100.69
772.50	463679056934802.38
773.50	463316207679344.06
774.50	462950868233725.75
775.50	462549343294984.44
776.50	462144900471044.44
777.50	461737879679615.12
778.50	461338909945978.38
779.50	460944484670271.62
780.50	460547526937780.94
781.50	460144284093842.06
782.50	459722480558945.81
783.50	459298094021356.44
784.50	458871124481073.75
785.50	458373594684056.94
786.50	457849394498081.00
787.50	457322377417230.75
788.50	456784005711986.06
789.50	456219682690124.19
790.50	455652462567375.38
791.50	455082345343739.75
792.50	454569095742503.94
793.50	454070974192574.75
794.50	453570151419421.25
795.50	453076909843867.94
796.50	452615459926337.12
797.50	452151421183262.94
798.50	451684793614644.94
799.50	451170103357500.31
800.50	450630284930275.25
801.50	450087707892797.88
802.50	449545056289647.81
803.50	449030557741063.50
804.50	448513384197322.69
805.50	447993535658425.56
806.50	447509186737730.31
807.50	447068973202287.44
808.50	446626295043601.75
809.50	446181152261673.06
810.50	445722935606386.06
811.50	445259572563368.38
812.50	444793712172708.94
813.50	444318639997109.19
814.50	443786661284102.69
815.50	443252035155011.75
816.50	442714761609836.19
817.50	442206129238354.06
818.50	441741916292719.00
819.50	441275247298521.00
820.50	440806122255760.19
821.50	440376710572422.88
822.50	439967679749655.94
823.50	439556350823578.31
824.50	439142723794189.62
825.50	438691439614984.75
826.50	438232944136397.38
827.50	437772053205656.88
828.50	437295951073086.25
829.50	436646950650928.88
830.50	435995112816115.62
831.50	435340437568646.44
832.50	434665622214110.81
833.50	433933070197195.19
834.50	433197507567479.50
835.50	432458934324963.75
836.50	431746086222108.69
837.50	431079283146424.00
838.50	430409655146393.06
839.50	429737202222015.88
840.50	428997867188962.06
841.50	428183234165432.00
842.50	427365451906118.50
843.50	426544520411021.31
844.50	425674180274675.56
845.50	424761128525673.38
846.50	423844724662105.50
847.50	422924968683972.19
848.50	422104722195871.00
849.50	421355939823398.94
850.50	420604223362511.25
851.50	419849572813208.12
852.50	419247972698448.12
853.50	418752327616558.00
854.50	418254368693870.88
855.50	417754095930386.75
856.50	417357794468610.81
857.50	417039700984193.25
858.50	416719729070916.38
859.50	416397878728780.12
860.50	416088064112964.19
861.50	415789787445759.88
862.50	415489695760869.38
863.50	415187789058292.44
864.50	414959076228130.31
865.50	414828267315662.06
866.50	414696046946593.25
867.50	414562415120923.81
868.50	414493202263809.31
869.50	414562780269644.88
870.50	414631420555387.94
871.50	414699123121038.44
872.50	414752466449116.62
873.50	414739237601708.69
874.50	414724890059760.25
875.50	414709423823271.62
876.50	414692838892242.75
877.50	414547334411226.81
878.50	414400419951669.62
879.50	414252095513571.06
880.50	414102361096931.25
881.50	413959517569288.62
882.50	413817491959522.81
883.50	413674080211096.31
884.50	413529282324008.69
885.50	413355891625390.31
886.50	413159652526488.88
887.50	412961917558052.69
888.50	412762686720081.50
889.50	412530078405546.56
890.50	412217759816700.12
891.50	411903698170964.12
892.50	411587893468338.69
893.50	411270345708823.88
894.50	410921332046035.12
895.50	410570508869461.75
896.50	410217876179103.69
897.50	409863433974960.94
898.50	409433662797999.00
899.50	408965667079390.75
900.50	408495617594274.69
901.50	408023514342650.88
902.50	407574486753327.81
903.50	407179456306644.12
904.50	406782551733726.50
905.50	406383773034574.88
906.50	405983120209189.38
907.50	405596337948818.19
908.50	405208902651422.62
909.50	404819630538593.12
910.50	404428521610329.81
911.50	404034354543968.25
912.50	403637173267347.50
913.50	403238149920766.69
914.50	402837284504225.75
915.50	402432157161812.06
916.50	401992997831863.69
917.50	401551920911758.12
918.50	401108926401495.56
919.50	400664014301075.81
920.50	400253304599501.44
921.50	399865883386323.25
922.50	399476677598350.00
923.50	399085687235581.44
924.50	398693407668066.69
925.50	398304358756794.00
