wavelength (nm)	Total	C2H2+	C2H+H	C2/H2	C2H/H	C2H2**
171.4	1.18E-18	0.00E+00	0.00E+00	1.18E-19	1.72E-19	8.90E-19
172	8.86E-19	0.00E+00	0.00E+00	8.86E-20	1.26E-19	6.72E-19
172.8	1.68E-18	0.00E+00	0.00E+00	1.68E-19	2.30E-19	1.28E-18
174.1	8.23E-19	0.00E+00	0.00E+00	8.23E-20	1.06E-19	6.35E-19
174.9	1.42E-18	0.00E+00	0.00E+00	1.42E-19	1.75E-19	1.10E-18
175.5	1.64E-18	0.00E+00	0.00E+00	1.64E-19	1.96E-19	1.28E-18
176.5	8.00E-19	0.00E+00	0.00E+00	8.00E-20	9.06E-20	6.29E-19
177.1	1.21E-18	0.00E+00	0.00E+00	1.21E-19	1.32E-19	9.57E-19
177.6	1.48E-18	0.00E+00	0.00E+00	1.48E-19	1.57E-19	1.17E-18
178.5	7.03E-19	0.00E+00	0.00E+00	7.03E-20	7.07E-20	5.62E-19
178.9	7.85E-19	0.00E+00	0.00E+00	7.85E-20	7.69E-20	6.30E-19
179.3	7.11E-19	0.00E+00	0.00E+00	7.11E-20	6.79E-20	5.72E-19
180.2	1.14E-18	0.00E+00	0.00E+00	1.14E-19	1.02E-19	9.24E-19
181.1	4.32E-19	0.00E+00	0.00E+00	4.32E-20	3.63E-20	3.52E-19
182.4	8.23E-19	0.00E+00	0.00E+00	8.23E-20	6.24E-20	6.78E-19
182.8	4.06E-19	0.00E+00	0.00E+00	4.06E-20	2.98E-20	3.36E-19
183.6	5.51E-19	0.00E+00	0.00E+00	5.51E-20	3.76E-20	4.58E-19
183.8	3.23E-19	0.00E+00	0.00E+00	3.23E-20	2.16E-20	2.69E-19
184.4	3.64E-19	0.00E+00	0.00E+00	3.64E-20	2.30E-20	3.05E-19
184.6	7.37E-19	0.00E+00	0.00E+00	7.37E-20	4.56E-20	6.18E-19
185.1	2.67E-19	0.00E+00	0.00E+00	0.00E+00	2.67E-19	0.00E+00
185.8	2.75E-19	0.00E+00	0.00E+00	0.00E+00	2.75E-19	0.00E+00
186.3	4.99E-19	0.00E+00	0.00E+00	0.00E+00	4.99E-19	0.00E+00
186.8	2.15E-19	0.00E+00	0.00E+00	0.00E+00	2.15E-19	0.00E+00
187.4	2.07E-19	0.00E+00	0.00E+00	0.00E+00	2.07E-19	0.00E+00
188	2.82E-19	0.00E+00	0.00E+00	0.00E+00	2.82E-19	0.00E+00
188.5	1.22E-19	0.00E+00	0.00E+00	0.00E+00	1.22E-19	0.00E+00
189	1.68E-19	0.00E+00	0.00E+00	0.00E+00	1.68E-19	0.00E+00
189.3	3.38E-19	0.00E+00	0.00E+00	0.00E+00	3.38E-19	0.00E+00
190	9.64E-20	0.00E+00	0.00E+00	0.00E+00	9.64E-20	0.00E+00
190.7	1.18E-19	0.00E+00	0.00E+00	0.00E+00	1.18E-19	0.00E+00
191.1	3.07E-19	0.00E+00	0.00E+00	0.00E+00	3.07E-19	0.00E+00
191.8	8.60E-20	0.00E+00	0.00E+00	0.00E+00	8.60E-20	0.00E+00
192.4	1.04E-19	0.00E+00	0.00E+00	0.00E+00	1.04E-19	0.00E+00
192.7	2.04E-19	0.00E+00	0.00E+00	0.00E+00	2.04E-19	0.00E+00
193.6	8.30E-20	0.00E+00	0.00E+00	0.00E+00	8.30E-20	0.00E+00
194.6	3.00E-19	0.00E+00	0.00E+00	0.00E+00	3.00E-19	0.00E+00
195.1	9.12E-20	0.00E+00	0.00E+00	0.00E+00	9.12E-20	0.00E+00
195.8	7.48E-20	0.00E+00	0.00E+00	0.00E+00	7.48E-20	0.00E+00
196.3	2.08E-19	0.00E+00	0.00E+00	0.00E+00	2.08E-19	0.00E+00
197.1	6.81E-20	0.00E+00	0.00E+00	0.00E+00	6.81E-20	0.00E+00
197.4	1.12E-19	0.00E+00	0.00E+00	0.00E+00	1.12E-19	0.00E+00
197.8	6.33E-20	0.00E+00	0.00E+00	0.00E+00	6.33E-20	0.00E+00
198.1	1.19E-19	0.00E+00	0.00E+00	0.00E+00	1.19E-19	0.00E+00
199	5.81E-20	0.00E+00	0.00E+00	0.00E+00	5.81E-20	0.00E+00
200	1.44E-19	0.00E+00	0.00E+00	0.00E+00	1.44E-19	0.00E+00
201.1	3.72E-20	0.00E+00	0.00E+00	0.00E+00	3.72E-20	0.00E+00
230.6	1.00E-28	0.00E+00	0.00E+00	0.00E+00	1.00E-28	0.00E+00
