Wavelength (nm)	Total	HCO/H	CO/H2	CO/H/H			
210	8.00E-21	2.26E-21	0.00E+00	5.74E-21			
220	5.00E-21	2.12E-21	0.00E+00	2.88E-21			
230	3.60E-21	2.03E-21	0.00E+00	1.57E-21			
240	3.00E-21	2.12E-21	0.00E+00	8.82E-22			
250	4.80E-21	4.07E-21	0.00E+00	7.30E-22			
256	8.00E-21	7.03E-21	0.00E+00	9.68E-22			
258.5	5.70E-21	4.88E-21	0.00E+00	8.21E-22			
260	2.50E-21	2.10E-21	0.00E+00	3.95E-22			
261.2	6.00E-21	4.98E-21	0.00E+00	1.02E-21			
261.8	2.50E-21	2.06E-21	0.00E+00	4.37E-22			
262.5	2.50E-21	2.05E-21	0.00E+00	4.54E-22			
263.47	9.90E-21	8.01E-21	0.00E+00	1.89E-21			
264	1.20E-20	9.66E-21	0.00E+00	2.34E-21			
264.5	5.00E-21	4.00E-21	0.00E+00	9.98E-22			
266.5	2.50E-21	1.95E-21	0.00E+00	5.46E-22			
267.25	1.40E-20	1.08E-20	0.00E+00	3.15E-21			
267.5	8.00E-21	6.18E-21	0.00E+00	1.82E-21			
268.25	1.30E-20	9.95E-21	0.00E+00	3.05E-21			
269	6.50E-21	4.93E-21	0.00E+00	1.57E-21			
270	6.50E-21	4.87E-21	0.00E+00	1.63E-21			
271	2.00E-20	1.48E-20	5.60E-22	4.66E-21			
271.36	2.10E-20	1.55E-20	1.01E-21	4.54E-21			
271.6	2.00E-20	1.47E-20	1.23E-21	4.10E-21			
273	5.00E-21	3.60E-21	7.00E-22	7.00E-22			
274.5	5.00E-21	3.54E-21	1.12E-21	3.48E-22			
275	3.25E-20	2.28E-20	8.16E-21	1.50E-21			
275	3.25E-20	2.27E-20	9.75E-21	0.00E+00			
275.5	2.00E-20	1.39E-20	6.06E-21	0.00E+00			
276.26	2.80E-20	1.94E-20	8.64E-21	0.00E+00			
276.65	2.10E-20	1.44E-20	6.56E-21	0.00E+00			
278	6.50E-21	4.39E-21	2.11E-21	0.00E+00			
279.76	2.90E-20	1.91E-20	9.88E-21	0.00E+00			
280.7	1.10E-20	7.16E-21	3.84E-21	0.00E+00			
281	1.70E-20	1.10E-20	5.99E-21	0.00E+00			
282.5	5.00E-21	3.17E-21	1.83E-21	0.00E+00			
283	5.00E-21	3.14E-21	1.86E-21	0.00E+00			
283.5	5.00E-20	3.12E-20	1.88E-20	0.00E+00			
284.7	5.60E-20	3.43E-20	2.17E-20	0.00E+00			
285	3.50E-20	2.13E-20	1.37E-20	0.00E+00			
287	7.50E-21	4.44E-21	3.06E-21	0.00E+00			
287.5	2.50E-20	1.47E-20	1.03E-20	0.00E+00			
288.59	4.60E-20	2.65E-20	1.95E-20	0.00E+00			
290	6.50E-21	3.67E-21	2.83E-21	0.00E+00			
291	2.00E-20	1.11E-20	8.90E-21	0.00E+00			
292	7.50E-21	4.09E-21	3.41E-21	0.00E+00			
292.5	6.50E-21	3.51E-21	2.99E-21	0.00E+00			
293.81	8.40E-20	4.44E-20	3.96E-20	0.00E+00			
294.8	2.50E-20	1.30E-20	1.20E-20	0.00E+00			
295	4.20E-20	2.17E-20	2.03E-20	0.00E+00			
295.5	2.50E-20	1.28E-20	1.22E-20	0.00E+00			
297	7.00E-21	3.50E-21	3.50E-21	0.00E+00			
298.57	4.80E-20	2.34E-20	2.46E-20	0.00E+00			
299.5	1.25E-20	6.01E-21	6.49E-21	0.00E+00			
300.7	5.00E-21	2.37E-21	2.63E-21	0.00E+00			
301.2	2.50E-20	1.18E-20	1.32E-20	0.00E+00			
302	1.25E-20	5.87E-21	6.63E-21	0.00E+00			
302.8	5.00E-21	2.34E-21	2.66E-21	0.00E+00			
304.18	6.90E-20	3.20E-20	3.70E-20	0.00E+00			
305	2.40E-20	1.10E-20	1.30E-20	0.00E+00			
305.49	6.30E-20	2.89E-20	3.41E-20	0.00E+00			
306	4.50E-20	2.06E-20	2.44E-20	0.00E+00			
307.4	7.00E-21	3.17E-21	3.83E-21	0.00E+00			
307.7	7.00E-21	3.16E-21	3.84E-21	0.00E+00			
308	2.50E-20	1.13E-20	1.37E-20	0.00E+00			
309.1	4.20E-20	1.88E-20	2.32E-20	0.00E+00			
309.5	2.50E-20	1.12E-20	1.38E-20	0.00E+00			
310.5	1.00E-20	4.43E-21	5.57E-21	0.00E+00			
311.2	2.50E-21	1.10E-21	1.40E-21	0.00E+00			
311.8	1.00E-20	4.38E-21	5.62E-21	0.00E+00			
312.3	2.00E-20	8.72E-21	1.13E-20	0.00E+00			
313	6.50E-21	2.82E-21	3.68E-21	0.00E+00			
314.43	7.60E-20	3.27E-20	4.33E-20	0.00E+00			
315	3.70E-20	1.58E-20	2.12E-20	0.00E+00			
316	1.00E-20	4.24E-21	5.76E-21	0.00E+00			
317.12	7.10E-20	2.98E-20	4.12E-20	0.00E+00			
317.3	3.75E-20	1.57E-20	2.18E-20	0.00E+00			
319.5	2.50E-21	1.02E-21	1.47E-21	0.00E+00			
319.8	2.00E-21	8.18E-22	1.18E-21	0.00E+00			
320.3	2.25E-20	9.15E-21	1.33E-20	0.00E+00			
321.5	1.25E-20	5.02E-21	7.48E-21	0.00E+00			
322.5	1.00E-21	3.97E-22	6.03E-22	0.00E+00			
322.8	5.00E-22	1.98E-22	3.02E-22	0.00E+00			
324.1	1.20E-20	4.68E-21	7.32E-21	0.00E+00			
324.8	6.00E-21	2.32E-21	3.68E-21	0.00E+00			
326.18	7.10E-20	2.70E-20	4.40E-20	0.00E+00			
327	2.50E-20	9.21E-21	1.58E-20	0.00E+00			
327.6	3.00E-21	1.07E-21	1.93E-21	0.00E+00			
328.2	2.00E-21	6.86E-22	1.31E-21	0.00E+00			
329.58	5.40E-20	1.69E-20	3.71E-20	0.00E+00			
330	2.00E-20	6.00E-21	1.40E-20	0.00E+00			
331	1.00E-21	2.68E-22	7.32E-22	0.00E+00			
332	1.00E-22	2.37E-23	7.63E-23	0.00E+00			
334	1.00E-22	1.50E-23	8.50E-23	0.00E+00			
334.5	1.00E-21	0.00E+00	1.00E-21	0.00E+00			
335	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
336	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
337	2.50E-21	0.00E+00	2.50E-21	0.00E+00			
337.5	2.50E-21	0.00E+00	2.50E-21	0.00E+00			
339.03	5.80E-20	0.00E+00	5.80E-20	0.00E+00			
340	1.25E-20	0.00E+00	1.25E-20	0.00E+00			
342	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
343.19	2.50E-20	0.00E+00	2.50E-20	0.00E+00			
345	5.00E-22	0.00E+00	5.00E-22	0.00E+00			
346	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
351.7	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
353.17	3.00E-20	0.00E+00	3.00E-20	0.00E+00			
355.3	1.00E-21	0.00E+00	1.00E-21	0.00E+00			
356	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
360	1.00E-22	0.00E+00	1.00E-22	0.00E+00			
370	1.90E-21	0.00E+00	1.90E-21	0.00E+00			
374	1.00E-35	0.00E+00	1.00E-35	0.00E+00			
700	1.00E-35	0.00E+00	1.00E-35	0.00E+00			
