Lambda,Total,C2H4+,C2H2+H2,C2H3+H,C2H2/2H,C2H2/H2
166.6,4.46E-17,0.00E+00,0.00E+00,0.00E+00,2.19E-17,2.27E-17
167.6,2.26E-17,0.00E+00,0.00E+00,0.00E+00,1.11E-17,1.15E-17
168.3,2.01E-17,0.00E+00,0.00E+00,0.00E+00,9.85E-18,1.03E-17
169.1,5.00E-17,0.00E+00,0.00E+00,0.00E+00,2.45E-17,2.55E-17
169.8,2.57E-17,0.00E+00,0.00E+00,0.00E+00,1.26E-17,1.31E-17
170.4,5.65E-17,0.00E+00,0.00E+00,0.00E+00,2.77E-17,2.88E-17
171.1,1.98E-17,0.00E+00,0.00E+00,0.00E+00,9.70E-18,1.01E-17
172.2,1.08E-17,0.00E+00,0.00E+00,0.00E+00,5.29E-18,5.51E-18
173.2,4.04E-17,0.00E+00,0.00E+00,0.00E+00,1.98E-17,2.06E-17
173.8,1.58E-17,0.00E+00,0.00E+00,0.00E+00,7.74E-18,8.06E-18
174.4,5.19E-17,0.00E+00,0.00E+00,0.00E+00,2.54E-17,2.65E-17
175.2,8.71E-18,0.00E+00,0.00E+00,0.00E+00,4.27E-18,4.44E-18
177,2.74E-18,0.00E+00,0.00E+00,0.00E+00,1.34E-18,1.40E-18
177.9,3.42E-18,0.00E+00,0.00E+00,0.00E+00,1.68E-18,1.74E-18
179.3,1.57E-18,0.00E+00,0.00E+00,0.00E+00,7.69E-19,8.01E-19
180.2,1.63E-18,0.00E+00,0.00E+00,0.00E+00,7.99E-19,8.31E-19
181.8,6.36E-19,0.00E+00,0.00E+00,0.00E+00,3.12E-19,3.24E-19
182.7,8.93E-19,0.00E+00,0.00E+00,0.00E+00,4.38E-19,4.55E-19
184.7,2.42E-19,0.00E+00,0.00E+00,0.00E+00,1.19E-19,1.23E-19
185.5,4.16E-19,0.00E+00,0.00E+00,0.00E+00,2.04E-19,2.12E-19
187.3,1.23E-19,0.00E+00,0.00E+00,0.00E+00,6.03E-20,6.27E-20
188.1,1.49E-19,0.00E+00,0.00E+00,0.00E+00,7.30E-20,7.60E-20
189.6,3.91E-20,0.00E+00,0.00E+00,0.00E+00,1.92E-20,1.99E-20
190.7,5.29E-20,0.00E+00,0.00E+00,0.00E+00,2.59E-20,2.70E-20
192.9,1.30E-20,0.00E+00,0.00E+00,0.00E+00,6.37E-21,6.63E-21
193.9,2.38E-20,0.00E+00,0.00E+00,0.00E+00,1.17E-20,1.21E-20
195.8,5.60E-20,0.00E+00,0.00E+00,0.00E+00,2.74E-20,2.86E-20
197.3,8.60E-20,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-20
196,1.00E-35,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-35
720,1.00E-35,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-35
